ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Glenmorangie Quinta Ruban 14 Year Old,£50.95,70cl,46%,£72.79 per litre
 Glengoyne 21 Year Old,£51.25,20cl,43%,£25.62 per 10cl
 Tomintoul 15 Year Old,£51.75,70cl,40%,£73.93 per litre
 Benrinnes 15 Year Old,£51.95,70cl,43%,£74.21 per litre
Glenfarclas 105°,£51.95,70cl,60%,£74.21 per litre
Edradour 10 Year Old Glass Pack,£51.95,70cl,40%,£74.21 per litre
 Edradour Ballechin Double Malt,£51.95,70cl,46%,£74.21 per litre
 Kilchoman Machir Bay Gift Pack,£51.95,70cl,46%,£74.21 per litre
AnCnoc Peatheart Batch 2,£51.95,70cl,46%,£74.21 per litre
Kilchoman Machir Bay Cask Strength,£51.95,70cl,58.6%,£74.21 per litre
 Kilchoman UK Small Batch,£51.95,70cl,47.4%,£74.21 per litre
 Glenallachie 9 Year Old,£52.25,70cl,48%,£74.64 per litre
 Glenturret 10 Year Old Peat Smoked,£52.45,70cl,50%,£74.93 per litre
 Auchentoshan Heartwood,£52.95,100cl,43%,
 Beinn Dubh – The Black,£52.95,70cl,43%,£75.64 per litre
 Speyside Beinn Dubh,£52.95,70cl,43%,£75.64 per litre
Glen Moray Rhum Agricole Finish Project,£52.95,70cl,46.3%,£75.64 per litre
 Glen Elgin 2006,£52.95,70cl,46%,£75.64 per litre
Loch Lomond 14 Year Old,£52.95,70cl,46%,£75.64 per litre
Tullibardine 15 Year Old,£52.95,70cl,43%,£75.64 per litre
 Glentauchers 2004,£53.25,70cl,43%,£76.07 per litre
Oban Little Bay,£53.95,70cl,43%,£77.07 per litre
 Lagavulin 8 Year Old,£53.95,70cl,48%,£77.07 per litre
Macallan 12 Year Old Double Cask,£53.95,70cl,40%,£77.07 per litre
Glenrothes Whisky Maker's Cut,£53.95,70cl,48.8%,£77.07 per litre
Arran Sherry Cask,£53.95,70cl,55.8%,£77.07 per litre
 Glen Moray 2007,£53.95,70cl,46%,£77.07 per litre
 Ardmore 2009,£53.95,70cl,46%,£77.07 per litre
 Glengoyne Cask Strength,£54.45,70cl,59.2%,£77.79 per litre
Glenfarclas 105 Gift Pack with 2 Miniatures 15 Year Old & 21 Year Old,£54.75,80cl,58%,£68.44 per litre
Smokehead High Voltage,£54.75,70cl,58%,£78.21 per litre
 Highland Park Cask Strength,£54.75,70cl,63.3%,£78.21 per litre
Glenfarclas 15 Year Old,£54.95,70cl,46%,£78.50 per litre
 Glenlivet 15 Year Old,£54.95,70cl,40%,£78.50 per litre
Bowmore 15 Year Old,£54.95,70cl,43%,£78.50 per litre
 Isle of Jura Prophecy,£54.95,70cl,46%,£78.50 per litre
 Talisker Gift Pack,£54.95,60cl,49.5%,£91.58 per litre
 Glenfiddich Malt Master's Edition,£54.95,70cl,43%,£78.50 per litre
Benromach 15 Year Old,£54.95,70cl,43%,£78.50 per litre
Ailsa Bay Sweet Smoke,£54.95,70cl,48.9%,£78.50 per litre
 Aird Mhor 2009,£54.95,70cl,58.5%,£78.50 per litre
 Glenallachie 8 Year Old,£54.95,70cl,48%,£78.50 per litre
Highland Park Valfather,£54.95,70cl,47%,£78.50 per litre
 Glentauchers 2005,£54.95,70cl,43%,£78.50 per litre
 Glenmorangie Nectar D'Or,£54.95,70cl,46%,£78.50 per litre
 Aberlour Casg Annamh,£54.95,70cl,48%,£78.50 per litre
House of Lords 12 Year Old,£54.95,70cl,40%,£78.50 per litre
 Glenlivet 2007,£54.95,70cl,46%,£78.50 per litre
 Tamdhu 2007,£54.95,70cl,48.4%,£78.50 per litre
 Glen Moray 2008,£55.45,70cl,48.4%,£79.21 per litre
Glen Scotia 15 Year Old,£55.95,70cl,46%,£79.93 per litre
 Glengoyne The Legacy Series Chapter One,£55.95,70cl,48%,£79.93 per litre
 Glenallachie 11 Year Old,£55.95,70cl,48%,£79.93 per litre
 Glenallachie 11 Year Old,£55.95,70cl,48%,£79.93 per litre
 Aultmore 2010,£55.95,70cl,51.4%,£79.93 per litre
Glen Scotia 11 Year Old Sherry Double Cask Finish,£55.95,70cl,54.1%,£79.93 per litre
Laphroaig Triple Wood,£56.45,70cl,48%,£80.64 per litre
 Balvenie 12 Year Old,£56.95,70cl,47.8%,£81.35 per litre
Macallan 12 Year Old Triple Cask Matured,£56.95,70cl,40%,£81.36 per litre
Highland Park Valknut,£56.95,70cl,46.8%,£81.36 per litre
 Craigellachie 2007,£56.95,70cl,46%,£81.36 per litre
 Glenglassaugh Octaves Classic,£56.95,70cl,44%,£81.36 per litre
 Glenlossie 2006,£56.95,70cl,46%,£81.36 per litre
Aberlour Triple Cask,£56.95,70cl,40%,£81.36 per litre
 Caol Ila 2009 Small Batch,£56.95,70cl,46%,£81.36 per litre
 Edradour 12 Year Old,£57.45,70cl,46%,£82.07 per litre
 Aberfeldy 15 Year Old,£57.75,70cl,43%,£82.50 per litre
Ardbeg Uigeadail,£57.95,70cl,54.2%,£82.79 per litre
Lagavulin 16 Year Old,£57.95,70cl,43%,£82.79 per litre
 Bowmore Classic Collection,£57.95,60cl,42%,£96.58 per litre
 Benriach Peated Cask Strength,£57.95,70cl,56%,£82.79 per litre
Highland Park Valkyrie,£57.95,70cl,45.9%,£82.79 per litre
Speyburn 15 Year Old,£57.95,70cl,46%,£82.79 per litre
 Benromach 2009 Cask Strength,£57.95,70cl,58.8%,£82.79 per litre
 Dailuaine 16 Year Old,£58.95,70cl,43%,£84.21 per litre
Jura Seven Wood,£58.95,70cl,42%,£84.21 per litre
 Cu Bocan Creation 1,£58.95,70cl,46%,£84.21 per litre
 Cu Bocan Creation 2,£58.95,70cl,46%,£84.21 per litre
 Clynelish 2011,£58.95,70cl,51.6%,£84.21 per litre
 Port Charlotte 10 Year Old,£58.95,70cl,50%,£84.21 per litre
Spey Fumare Cask Strength Batch 2,£58.95,70cl,60.4%,£84.21 per litre
 Glen Moray 8 Year Old,£59.95,75cl,43%,£79.93 per litre
 Caol Ila 1999,£59.95,70cl,43%,£85.64 per litre
 AnCnoc Peter Arkle,£59.95,70cl,46%,£85.64 per litre
